program,gender,age,height,weight,prev_salary,expected_salary,preferred_organization,Do you LIVE WITH YOUR PARENTS? ,monthly_expenses,transport_mode,transport_cost,entertainment_cost,cellphone_cost,foot_size,alcoholic_drinks_per_week,sleep_hours,How much time in hours do you spend each week on social netorking sites?,study_hours,work_hours,travel_outside_NA,pay_own_tuition,coffees_per_day,height_m,BMI,coffee_per_week,total_monthly_expense
0,0,27.0,154.0,60.0,4000.0,6000.0,. Large Corporation,Yes,300,2. Public Transport,50,100,50,9,0,6,15,10,40,Yes,Yes,0.0,1.54,25.2993759487266,0.0,3005010050
0,0,24.0,153.0,52.0,4000.0,5000.0,. Small Company,Yes,1600,2. Public Transport,80,50,50,9,,7,10,10,50,Yes,Yes,1.0,1.53,22.21367849972233,7.0,1600805050
0,0,36.0,179.0,70.0,6000.0,6500.0,. Non-profit or Government Agency,No,3000,5. Other,50,,50,12,0,8,1,10,20,Yes,Yes,0.0,1.79,21.847008520333322,0.0,
0,0,23.0,175.0,63.0,4500.0,5000.0,. Large Corporation,Yes,2500,3. Drive,200,300,50,10 inches,0,8,10,12,0,Yes,No,0.0,1.75,20.571428571428573,0.0,250020030050
0,0,26.0,180.0,94.0,0.0,4500.0,. Small Company,No,300,2. Public Transport,20,20,40,9.5,1,8,35,7,12,No,Yes,2.0,1.8,29.012345679012345,14.0,300202040
0,0,28.0,180.0,91.0,4500.0,7000.0,. Large Corporation,No,2000,2. Public Transport,100,200,70,11.61,1,8,30,15,40,No,Yes,0.0,1.8,28.086419753086417,0.0,200010020070
2,0,15.0,167.0,60.0,0.0,5000.0,. Large Corporation,Yes,800,1. Walk,0,100,100,7,2,9,5,2.5,2,No,No,5.0,1.67,21.513858510523864,35.0,8000100100
16,0,27.0,175.0,70.0,4500.0,5000.0,. Small Company,Yes,2500,3. Drive,300,100,66,9'11,0,6,10,7,0,Yes,Yes,1.0,1.75,22.857142857142858,7.0,250030010066
2,0,27.0,153.0,48.0,2000.0,4000.0,. Non-profit or Government Agency,No,1300,2. Public Transport,0,150,60,9,0,7,20,40,20,Yes,No,1.0,1.53,20.504933999743688,7.0,1300015060
0,0,23.0,185.0,81.0,3500.0,5500.0,. Large Corporation,Yes,800,2. Public Transport,46,200,45,10.5,0,9,15,20,20,Yes,Yes,1.0,1.85,23.66691015339664,7.0,8004620045
0,0,28.0,171.0,72.0,3600.0,4000.0,. Non-profit or Government Agency,Yes,800,2. Public Transport,270,100,40,10.4,1,6.5,5 ,12,37.5,Yes,Yes,0.0,1.71,24.622960911049557,0.0,80027010040
0,0,35.0,167.0,77.0,0.0,5000.0,. Non-profit or Government Agency,No,5000,2. Public Transport,,80,130,9,0,6,4,14,0,Yes,No,0.0,1.67,27.60945175517229,0.0,
0,0,24.0,174.0,65.0,5500.0,6300.0,. Large Corporation,No,$2500,2. Public Transport,$50,$200,$78,10,1,7,20,10,40,Yes,Yes,1.0,1.74,21.469150482230148,7.0,$2500$50$200$78
0,0,25.0,168.0,68.0,5000.0,5500.0,. Small Company,Yes,2000,3. Drive,120,70,65,9,0,7.5,7,6,37,Yes,No,2.0,1.68,24.092970521541954,14.0,20001207065
0,0,35.0,178.0,82.0,5700.0,6500.0,. Non-profit or Government Agency,No,2000,2. Public Transport,100,500,100,10.6,2,7,1.5,20,25,Yes,No,1.0,1.78,25.88057063502083,7.0,2000100500100
0,0,33.0,178.0,80.0,5600.0,7000.0,. Large Corporation,Yes,1500,2. Public Transport,40,100,45,10,1,6,20,7,40,Yes,Yes,0.0,1.78,25.24933720489837,0.0,15004010045
